Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
4/10/2019,DVP,BEN,354613101,FRANKLIN RES INC,373635,34.26,12800735.1,4.49%,285073245,8550000,171,
4/10/2019,DVP,CTL,156700106,CENTURYLINK INC,1030081,12.39,12762703.59,4.48%,285073245,8550000,171,
4/10/2019,DVP,CVS,126650100,CVS HEALTH CORP,286117,53.72,15370205.24,5.39%,285073245,8550000,171,
4/10/2019,DVP,FCX,35671D857,FREEPORT-MCMORAN INC,985928,13.38,13191716.64,4.63%,285073245,8550000,171,
4/10/2019,DVP,FL,344849104,FOOT LOCKER INC,278510,61.11,17019746.1,5.97%,285073245,8550000,171,
4/10/2019,DVP,GPS,364760108,GAP INC,808732,25.65,20743975.8,7.28%,285073245,8550000,171,
4/10/2019,DVP,HFC,436106108,HOLLYFRONTIER CORP,235470,48.17,11342589.9,3.98%,285073245,8550000,171,
4/10/2019,DVP,HPQ,40434L105,HP INC,624095,19.59,12226021.05,4.29%,285073245,8550000,171,
4/10/2019,DVP,HRB,93671105,BLOCK H & R INC,550129,24.79,13637697.91,4.78%,285073245,8550000,171,
4/10/2019,DVP,JWN,655664100,NORDSTROM INC,208057,44.17,9189877.69,3.22%,285073245,8550000,171,
4/10/2019,DVP,KSS,500255104,KOHLS CORP,170062,72.45,12320991.9,4.32%,285073245,8550000,171,
4/10/2019,DVP,LB,501797104,L BRANDS INC,482382,27,13024314,4.57%,285073245,8550000,171,
4/10/2019,DVP,LYB,N53745100,LYONDELLBASELL INDUSTRIES N V SHS - A -,133404,90.25,12039711,4.22%,285073245,8550000,171,
4/10/2019,DVP,M,55616P104,MACYS INC,607671,25.07,15234311.97,5.34%,285073245,8550000,171,
4/10/2019,DVP,NEM,651639106,NEWMONT MNG CORP,359316,36.6,13150965.6,4.61%,285073245,8550000,171,
4/10/2019,DVP,PHM,745867101,PULTE GROUP INC,444816,28.57,12708393.12,4.46%,285073245,8550000,171,
4/10/2019,DVP,STX,G7945M107,SEAGATE TECHNOLOGY PLC,257409,48.91,12589874.19,4.42%,285073245,8550000,171,
4/10/2019,DVP,T,00206R102,AT&T INC,399454,31.75,12682664.5,4.45%,285073245,8550000,171,
4/10/2019,DVP,VIAB,92553P201,VIACOM INC NEW,753457,29.71,22385207.47,7.85%,285073245,8550000,171,
4/10/2019,DVP,WDC,958102105,WESTERN DIGITAL CORP,393843,50.11,19735472.73,6.92%,285073245,8550000,171,
4/10/2019,DVP,Cash&Other,Cash&Other,Cash & Other,916069.5,1,916069.5,0.32%,285073245,8550000,171,Y
